player_id,player_name,team_id,position,pool_start_prob,pool_start_prob_source,ev_start_prob,ev_start_prob_source,start_prob_diff,minute_share,suspected_issue,recommended_action
maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,0.873,transfermarkt_availability_split_2026_06_04,0.873,transfermarkt_availability_split_2026_06_01,0.0,0.079364,ok,No action.
math_as_olivera__uru,Mathias Olivera,URU,DEF,0.8379,transfermarkt_availability_split_2026_06_04,0.8379,transfermarkt_availability_split_2026_06_01,0.0,0.076173,ok,No action.
dayot_upamecano__fra,Dayot Upamecano,FRA,DEF,0.6745,transfermarkt_availability_split_2026_06_04,0.6745,transfermarkt_availability_split_2026_06_01,0.0,0.061318,ok,No action.
alistair_johnston__can,Alistair Johnston,CAN,DEF,0.8759,transfermarkt_availability_split_2026_06_04,0.8759,transfermarkt_availability_split_2026_06_01,0.0,0.079627,ok,No action.
lyle_foster__rsa,Lyle Foster,RSA,FWD,0.7768,transfermarkt_availability_split_2026_06_04,0.7768,transfermarkt_availability_split_2026_06_01,0.0,0.070618,ok,No action.
piero_hincapi__ecu,Piero Hincapie,ECU,DEF,0.8766,transfermarkt_availability_split_2026_06_04,0.8766,transfermarkt_availability_split_2026_06_01,0.0,0.079691,ok,No action.
thomas_meunier__bel,Thomas Meunier,BEL,DEF,0.7556,transfermarkt_availability_split_2026_06_04,0.7556,transfermarkt_availability_split_2026_06_01,0.0,0.068691,ok,No action.
alphonso_davies__can,Alphonso Davies,CAN,DEF,0.8616,transfermarkt_availability_split_2026_06_04,0.8616,transfermarkt_availability_split_2026_06_01,0.0,0.078327,ok,No action.
pedro_porro__esp,Pedro Porro,ESP,DEF,0.5375,transfermarkt_availability_split_2026_06_04,0.5375,transfermarkt_availability_split_2026_06_01,0.0,0.048864,ok,No action.
fabian_rieder__sui,Fabian Rieder,SUI,MID,0.7887,transfermarkt_availability_split_2026_06_04,0.7887,transfermarkt_availability_split_2026_06_01,0.0,0.0717,ok,No action.
jes_s_gallardo__mex,Jesus Gallardo,MEX,DEF,0.7889,transfermarkt_availability_split_2026_06_04,0.7889,transfermarkt_availability_split_2026_06_01,0.0,0.071718,ok,No action.
luiz_henrique__bra,Luiz Henrique,BRA,FWD,0.8148,transfermarkt_availability_split_2026_06_04,0.8148,transfermarkt_availability_split_2026_06_01,0.0,0.074073,ok,No action.
pau_cubars__esp,Pau Cubarsi,ESP,DEF,0.6024,transfermarkt_availability_split_2026_06_04,0.6024,transfermarkt_availability_split_2026_06_01,0.0,0.054764,ok,No action.
noni_madueke__eng,Noni Madueke,ENG,FWD,0.7302,transfermarkt_availability_split_2026_06_04,0.7302,transfermarkt_availability_split_2026_06_01,0.0,0.066382,ok,No action.
jules_kounde__fra,Jules Kounde,FRA,DEF,0.7661,transfermarkt_availability_split_2026_06_04,0.7661,transfermarkt_availability_split_2026_06_01,0.0,0.069645,ok,No action.
ayase_ueda__jpn,Ayase Ueda,JPN,FWD,0.7167,transfermarkt_availability_split_2026_06_04,0.7167,transfermarkt_availability_split_2026_06_01,0.0,0.065155,ok,No action.
malo_gusto__fra,Malo Gusto,FRA,DEF,0.6615,transfermarkt_availability_split_2026_06_04,0.6615,transfermarkt_availability_split_2026_06_01,0.0,0.060136,ok,No action.
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,0.7666,transfermarkt_availability_split_2026_06_04,0.7666,transfermarkt_availability_split_2026_06_01,0.0,0.069691,ok,No action.
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,0.8167,transfermarkt_availability_split_2026_06_04,0.8167,transfermarkt_availability_split_2026_06_01,0.0,0.074245,ok,No action.
pervis_estupi_n__ecu,Pervis Estupinan,ECU,DEF,0.8713,transfermarkt_availability_split_2026_06_04,0.8713,transfermarkt_availability_split_2026_06_01,0.0,0.079209,ok,No action.
kai_havertz__ger,Kai Havertz,GER,FWD,0.8043,transfermarkt_availability_split_2026_06_04,0.8043,transfermarkt_availability_split_2026_06_01,0.0,0.073118,ok,No action.
jamal_musiala__ger,Jamal Musiala,GER,MID,0.8355,transfermarkt_availability_split_2026_06_04,0.8355,transfermarkt_availability_split_2026_06_01,0.0,0.075955,ok,No action.
daniel_mu_oz__col,Daniel Muñoz,COL,DEF,0.7378,transfermarkt_availability_split_2026_06_04,0.7378,transfermarkt_availability_split_2026_06_01,0.0,0.067073,ok,No action.
ollie_watkins__eng,Ollie Watkins,ENG,FWD,0.5529,transfermarkt_availability_split_2026_06_04,0.5529,transfermarkt_availability_split_2026_06_01,0.0,0.050264,ok,No action.
lee_kang_in__kor,Kang-In Lee,KOR,MID,0.7678,transfermarkt_availability_split_2026_06_04,0.7678,transfermarkt_availability_split_2026_06_01,0.0,0.0698,ok,No action.
