team_id,team_name,gk_count,sum_start_prob,max_start_prob,over_100_flag,multiple_high_gk_flag,player_name,player_id,start_prob,conditional_start_prob,start_prob_source,optimizer_ev,price
HAI,Haiti,3,1.0,0.8957,FALSE,FALSE,Alexandre Pierre,alexandre_pierre__hai,0.0792,0.0792,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.061024,2495000
HAI,Haiti,3,1.0,0.8957,FALSE,FALSE,Josue Duverger,josue_duverger__hai,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
IRN,Iran,4,1.0,0.9189,FALSE,FALSE,Alireza Beiranvand,alireza_beiranvand__irn,0.9189,0.9189,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,2.782046,3046000
IRN,Iran,4,1.0,0.9189,FALSE,FALSE,Seyed Hossein Hosseini,seyed_hossein_hosseini__irn,0.0501,0.0501,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.265584,2495000
IRN,Iran,4,1.0,0.9189,FALSE,FALSE,Payam Niazmand,payam_niazmand__irn,0.031,0.031,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.145606,2495000
IRN,Iran,4,1.0,0.9189,FALSE,FALSE,Mohammad Khalife,mohammad_khalife__irn,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
IRQ,Irak,4,1.0,0.845,FALSE,FALSE,Ahmed Basil Fadhil,ahmed_basil_fadhil__irq,0.845,0.845,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.35212,2495000
IRQ,Irak,4,1.0,0.845,FALSE,FALSE,Fahad Talib,fahad_talib__irq,0.079,0.079,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.010623,2495000
IRQ,Irak,4,1.0,0.845,FALSE,FALSE,Jalal Hassan,jalal_hassan__irq,0.076,0.076,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2487000
IRQ,Irak,4,1.0,0.845,FALSE,FALSE,Kumel Al-Rekabe,kumel_al_rekabe__irq,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
JOR,Jordan,4,1.0,0.9498,FALSE,FALSE,Yazeed Abulaila,yazeed_abulaila__jor,0.9498,0.9498,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.394976,2490000
JOR,Jordan,4,1.0,0.9498,FALSE,FALSE,Noureddin Bani Attiah,noureddin_bani_attiah__jor,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
JOR,Jordan,4,1.0,0.9498,FALSE,FALSE,Abdallah Al-Fakhouri,abdallah_al_fakhouri__jor,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.041497,2495000
JOR,Jordan,4,1.0,0.9498,FALSE,FALSE,Abdel Rahman Al-Talalga,abdel_rahman_al_talalga__jor,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
JPN,Japan,3,1.0,0.9433,FALSE,FALSE,Zion Suzuki,zion_suzuki__jpn,0.9433,0.9433,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,4.727281,4036000
JPN,Japan,3,1.0,0.9433,FALSE,FALSE,Tomoki Hayakawa,tomoki_hayakawa__jpn,0.0304,0.0304,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.208985,3495000
JPN,Japan,3,1.0,0.9433,FALSE,FALSE,Keisuke Osako,keisuke_sako__jpn,0.0263,0.0263,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.183843,3495000
KOR,Sydkorea,3,1.0,0.7029,FALSE,FALSE,Seung-Gyu Kim,kim_seung_gyu__kor,0.7029,0.7029,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,2.176383,3059000
KOR,Sydkorea,3,1.0,0.7029,FALSE,FALSE,Hyeon-Woo Jo,jo_hyeon_woo__kor,0.272,0.272,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.005921,3495000
KOR,Sydkorea,3,1.0,0.7029,FALSE,FALSE,Bum-Keun Song,bum_keun_song__kor,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.03334,2495000
KSA,Saudi-Arabien,5,1.0,0.7314,FALSE,FALSE,Mohammed Al-Owais,mohammed_al_owais__ksa,0.7314,0.7314,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.066982,3069000
KSA,Saudi-Arabien,5,1.0,0.7314,FALSE,FALSE,Nawaf Al-Aqidi,nawaf_al_aqidi__ksa,0.1772,0.1772,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.357593,2495000
KSA,Saudi-Arabien,5,1.0,0.7314,FALSE,FALSE,Ahmed Al-Kassar,ahmed_al_kassar__ksa,0.0914,0.0914,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
KSA,Saudi-Arabien,5,1.0,0.7314,FALSE,FALSE,Abdulrahman Al-Sanbi,abdulrahman_al_sanbi__ksa,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
KSA,Saudi-Arabien,5,1.0,0.7314,FALSE,FALSE,Mohammed Al-Rubaie Al-Yami,mohammed_al_rubaie_al_yami__ksa,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
MAR,Marokko,5,1.0,0.949,FALSE,FALSE,Yassine 'Bono' Bounou,yassine_bono_bounou__mar,0.949,0.949,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,8.946041,3534000
MAR,Marokko,5,1.0,0.949,FALSE,FALSE,Munir Mohamedi El Kajoui,munir_mohamedi_el_kajoui__mar,0.0259,0.0259,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2995000
MAR,Marokko,5,1.0,0.949,FALSE,FALSE,Ahmed Reda Tagnaouti,ahmed_reda_tagnaouti__mar,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
MAR,Marokko,5,1.0,0.949,FALSE,FALSE,El Mehdi Al Harrar,el_mehdi_al_harrar__mar,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
MAR,Marokko,5,1.0,0.949,FALSE,FALSE,El Mehdi Benabid,el_mehdi_benabid__mar,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,3000000
MEX,Mexico,3,1.0,0.9397,FALSE,FALSE,Raul Rangel,raul_rangel__mex,0.9397,0.9397,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,10.854725,4137000
MEX,Mexico,3,1.0,0.9397,FALSE,FALSE,Guillermo Ochoa,guillermo_ochoa__mex,0.0352,0.0352,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.438269,2995000
MEX,Mexico,3,1.0,0.9397,FALSE,FALSE,Carlos Acevedo,carlos_acevedo__mex,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.299323,3495000
NED,Holland,4,1.0,0.9012,FALSE,FALSE,Bart Verbruggen,bart_verbruggen__ned,0.9012,0.9012,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,6.948376,4521000
NED,Holland,4,1.0,0.9012,FALSE,FALSE,Mark Flekken,mark_flekken__ned,0.0737,0.0737,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.607007,3995000
NED,Holland,4,1.0,0.9012,FALSE,FALSE,Robin Roefs,robin_roefs__ned,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,3495000
NED,Holland,4,1.0,0.9012,FALSE,FALSE,Justin Bijlow,justin_bijlow__ned,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,3500000
NOR,Norge,4,1.0,0.9496,FALSE,FALSE,Ørjan Nyland,rjan_nyland__nor,0.9496,0.9496,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,9.52045,4064000
NOR,Norge,4,1.0,0.9496,FALSE,FALSE,Egil Selvik,egil_selvik__nor,0.0253,0.0253,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.296114,3495000
NOR,Norge,4,1.0,0.9496,FALSE,FALSE,Sander Tangvik,sander_tangvik__nor,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2995000
NOR,Norge,4,1.0,0.9496,FALSE,FALSE,Viljar Myhra,viljar_myhra__nor,0.0,0.0,holdet_official_unmatched_default,0.0,2500000
NZL,New Zealand,3,0.9999,0.5912,FALSE,TRUE,Alex Paulsen,alex_paulsen__nzl,0.5912,0.5912,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.450521,2495000
NZL,New Zealand,3,0.9999,0.5912,FALSE,TRUE,Max Crocombe,max_crocombe__nzl,0.3832,0.3832,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.301408,2526000
NZL,New Zealand,3,0.9999,0.5912,FALSE,TRUE,Michael Woud,michael_woud__nzl,0.0255,0.0255,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.024254,2495000
PAN,Panama,3,1.0,0.8542,FALSE,FALSE,Orlando Mosquera,orlando_mosquera__pan,0.8542,0.8542,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.62742,2496000
PAN,Panama,3,1.0,0.8542,FALSE,FALSE,Luis Mejia,luis_mejia__pan,0.0982,0.0982,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.125268,2495000
PAN,Panama,3,1.0,0.8542,FALSE,FALSE,Cesar Samudio,cesar_samudio__pan,0.0476,0.0476,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
PAR,Paraguay,5,1.0,0.4555,FALSE,FALSE,Roberto 'Gatito' Fernandez,roberto_gatito_fernandez__par,0.4555,0.4555,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.205382,2995000
PAR,Paraguay,5,1.0,0.4555,FALSE,FALSE,Orlando Gill,orlando_gill__par,0.3331,0.3331,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.939376,2997000
PAR,Paraguay,5,1.0,0.4555,FALSE,FALSE,Gaston Olveira,gaston_olveira__par,0.2114,0.2114,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.594893,2995000
PAR,Paraguay,5,1.0,0.4555,FALSE,FALSE,Juan Espinola,juan_espinola__par,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
