player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
mathew_ryan__aus,49526,Mathew Ryan,Australien,GK,holdet_player_id,2990000,2990000,2995000,5000
paul_izzo__aus,49721,Paul Izzo,Australien,GK,holdet_player_id,2490000,2490000,2495000,5000
patrick_beach__aus,49713,Patrick Beach,Australien,GK,holdet_player_id,2655000,2655000,2667000,12000
viktor_johansson__swe,49926,Viktor Johansson,Sverige,GK,holdet_player_id,3490000,3490000,3495000,5000
jacob_widell_zetterstrom__swe,49242,Jacob Widell Zetterström,Sverige,GK,holdet_player_id,3490000,3490000,3495000,5000
kristoffer_nordfeldt__swe,49414,Kristoffer Nordfeldt,Sverige,GK,holdet_player_id,4058000,4058000,4079000,21000
bart_verbruggen__ned,48887,Bart Verbruggen,Holland,GK,holdet_player_id,4630000,4630000,4521000,-109000
robin_roefs__ned,50271,Robin Roefs,Holland,GK,holdet_player_id,3490000,3490000,3495000,5000
mark_flekken__ned,49502,Mark Flekken,Holland,GK,holdet_player_id,3990000,3990000,3995000,5000
alexander_n_bel__ger,48783,Alexander Nübel,Tyskland,GK,holdet_player_id,4490000,4490000,4495000,5000
oliver_baumann__ger,49680,Oliver Baumann,Tyskland,GK,holdet_player_id,4990000,4990000,4995000,5000
manuel_neuer__ger,50081,Manuel Neuer,Tyskland,GK,holdet_player_id,5148000,5148000,5099000,-49000
mert_gunok__tur,49550,Mert Günok,Tyrkiet,GK,holdet_player_id,3490000,3490000,3495000,5000
ugurcan_cakir__tur,49917,Ugurcan Cakir,Tyrkiet,GK,holdet_player_id,3989000,3989000,3993000,4000
altay_bayindir__tur,48810,Altay Bayindir,Tyrkiet,GK,holdet_player_id,2990000,2990000,2995000,5000
gregor_kobel__sui,49151,Gregor Kobel,Schweiz,GK,holdet_player_id,4103000,4103000,4041000,-62000
djibril_sow__sui,49026,Djibril Sow,Schweiz,MID,holdet_player_id,3059000,3059000,2990000,-69000
