match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group
18,IRQ,NOR,2026-06-17 00:00,19.00,8.00,1.18,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,IRQ,NOR,GROUP,I
19,ARG,DZA,2026-06-17 03:00,1.37,5.00,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,ARG,ALG,GROUP,J
20,AUT,JOR,2026-06-17 06:00,1.32,5.80,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,AUT,JOR,GROUP,J
21,POR,COD,2026-06-17 19:00,1.30,5.80,12.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,POR,COD,GROUP,K
22,ENG,CRO,2026-06-17 22:00,1.73,3.75,5.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,ENG,CRO,GROUP,L
23,GHA,PAN,2026-06-18 01:00,2.20,3.45,3.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,GHA,PAN,GROUP,L
24,UZB,COL,2026-06-18 04:00,9.00,4.70,1.42,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,UZB,COL,GROUP,K
25,CZE,RSA,2026-06-18 18:00,1.76,3.85,4.90,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,CZE,RSA,GROUP,A
26,SUI,BIH,2026-06-18 21:00,1.56,4.20,6.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,SUI,BIH,GROUP,B
27,CAN,QAT,2026-06-19 00:00,1.26,6.25,14.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,CAN,QAT,GROUP,B
28,MEX,KOR,2026-06-19 03:00,2.02,3.35,4.25,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,MEX,KOR,GROUP,A
29,USA,AUS,2026-06-19 21:00,1.60,4.30,6.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,USA,AUS,GROUP,D
30,SCO,MAR,2026-06-20 00:00,5.50,3.65,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,SCO,MAR,GROUP,C
31,BRA,HAI,2026-06-20 03:00,1.12,11.50,26.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,BRA,HAI,GROUP,C
32,TUR,PAR,2026-06-20 06:00,2.06,3.40,4.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,TUR,PAR,GROUP,D
33,NED,SWE,2026-06-20 19:00,1.70,3.95,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,NED,SWE,GROUP,F
34,GER,CIV,2026-06-20 22:00,1.57,4.40,6.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,GER,CIV,GROUP,E
35,ECU,CUW,2026-06-21 02:00,1.13,11.00,23.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,ECU,CUW,GROUP,E
36,TUN,JPN,2026-06-21 06:00,7.50,4.20,1.53,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,TUN,JPN,GROUP,F
37,ESP,KSA,2026-06-21 18:00,1.12,10.00,30.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,ESP,KSA,GROUP,H
38,BEL,IRN,2026-06-21 21:00,1.38,5.30,9.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,BEL,IRN,GROUP,G
39,URU,CPV,2026-06-22 00:00,1.47,4.60,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,URU,CPV,GROUP,H
40,NZL,EGY,2026-06-22 03:00,5.40,3.70,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,NZL,EGY,GROUP,G
