kind,method,resource_type,status,url,post_data,content_type
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/esm/dli/Loader.VBQDM4A7.js,,
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/8428.d422dd0507c49c2a1a0c.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/3528.f653d4aa428764b2157a.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/8879.2ae035417b110ad062aa.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/3786.1ce8db94096faa6f3232.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/1934.ee8a10c1d9071741478f.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/8284.0338f9c43cdf087436b4.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/3475.dbce2632a66972f84551.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/7552.e559cb6d00cf0e7774c9.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/1001.18565045ce5a1be12217.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/4943.2bfeddee8b2a4367e579.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/311.0fd99bb68300dd9dba4f.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/713.f2442db3cf835f85c6b5.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/4161.02626fdeec31deafd1ec.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Helpers/Api.js?r=238-DS-363,,text/javascript
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Button/Button.js?r=238-DS-363,,text/javascript
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Modal/Modal.js?r=238-DS-363,,text/javascript
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/SubscriptionFlow/NewsletterPromotion.js?r=238-DS-363,,text/javascript
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Framework/PlayerAccountManagement/Scripts/Helpers/Consent.js?r=238-DS-363,,text/javascript
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Confetti/Confetti.js?r=238-DS-363,,
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Svg/Svg.js?r=238-DS-363,,text/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/6621.b91558fd17cf66c8309b.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Framework/PlayerAccountManagement/Scripts/Templates/Svg.js?r=238-DS-363,,
