player_id,player_name,team_id,position,match_no,opponent,start_prob,appearance_prob_used,old_on_pitch_ev,new_on_pitch_ev,old_result_ev,new_result_ev,old_team_scores_ev,new_team_scores_ev,old_opponent_scores_ev,new_opponent_scores_ev,old_weighted_match_ev,new_weighted_match_ev,repair_reason
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,3,JOR,0.6306,0.7993,0.045916,0.045916,0.074848,6.181706,0.054267,0.07993,-0.040572,-0.063944,1.148798,6.647032,rebuilt_from_match_context_and_appearance_prob
casemiro__bra,Casemiro,BRA,MID,1,MAR,0.8252,0.8252,0.049024,0.049024,0.123708,0.123708,0.055965,0.08252,-0.039653,-0.066016,1.425254,1.425446,rebuilt_from_match_context_and_appearance_prob
casemiro__bra,Casemiro,BRA,MID,2,HAI,0.8252,0.8252,0.049024,0.049024,0.093633,7.482253,0.058125,0.08252,-0.035909,-0.066016,1.630438,8.644201,rebuilt_from_match_context_and_appearance_prob
casemiro__bra,Casemiro,BRA,MID,3,SCO,0.8252,0.8252,0.049024,0.049024,0.066728,5.332277,0.052741,0.08252,-0.042632,-0.066016,1.217273,5.962023,rebuilt_from_match_context_and_appearance_prob
omar_marmoush__egy,Omar Marmoush,EGY,FWD,1,BEL,0.8621,0.8626,0.053512,0.053512,0.010513,0.010513,0.056603,0.08626,-0.052826,-0.069008,0.51192,0.525395,rebuilt_from_match_context_and_appearance_prob
omar_marmoush__egy,Omar Marmoush,EGY,FWD,2,NZL,0.8621,0.8626,0.053512,0.053512,0.079236,1.980875,0.061642,0.08626,-0.04912,-0.069008,1.74444,3.555491,rebuilt_from_match_context_and_appearance_prob
omar_marmoush__egy,Omar Marmoush,EGY,FWD,3,IRN,0.8621,0.8626,0.053512,0.053512,0.090549,2.263721,0.064154,0.08626,-0.046609,-0.069008,1.337476,3.293068,rebuilt_from_match_context_and_appearance_prob
r_ben_dias__por,Ruben Dias,POR,DEF,1,COD,0.9454,0.9454,0.063448,0.063448,0.17059,0.17059,0.070241,0.09454,-0.046567,-0.075632,1.624375,1.619609,rebuilt_from_match_context_and_appearance_prob
r_ben_dias__por,Ruben Dias,POR,DEF,2,UZB,0.9454,0.9454,0.063448,0.063448,0.111037,5.329787,0.071396,0.09454,-0.044935,-0.075632,1.504208,6.454845,rebuilt_from_match_context_and_appearance_prob
r_ben_dias__por,Ruben Dias,POR,DEF,3,COL,0.9454,0.9454,0.063448,0.063448,0.078179,3.752576,0.063449,0.09454,-0.053123,-0.075632,0.914887,4.229569,rebuilt_from_match_context_and_appearance_prob
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,1,EGY,0.9135,0.9135,0.05962,0.05962,0.128942,0.128942,0.065726,0.09135,-0.045181,-0.07308,1.294021,1.291746,rebuilt_from_match_context_and_appearance_prob
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,2,IRN,0.9135,0.9135,0.05962,0.05962,0.097385,3.185466,0.065726,0.09135,-0.044863,-0.07308,1.444952,4.376165,rebuilt_from_match_context_and_appearance_prob
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,3,NZL,0.9135,0.9135,0.05962,0.05962,0.085199,2.786814,0.062949,0.09135,-0.047505,-0.07308,1.222125,3.656122,rebuilt_from_match_context_and_appearance_prob
